Date,Region_Name,propertyType,averagePrice,London Detached Avg,London Semi Detached Avg,London Terraced Avg,London Flat Avg,Newcastle Detached Avg,Newcastle Semi Detached Avg,Newcastle Terraced Avg,Newcastle Flat Avg
01/04/2001,London,Detached,317567.8587,622812.73,395728.37,335246.08,292812.27,252619.47,152858.81,130726.91,100847.21
01/04/2002,London,Detached,359915.9094,,,,,,,,
01/04/2003,London,Detached,415920.6633,,,,,,,,
01/04/2004,London,Detached,435578.3308,,,,,,,,
01/04/2005,London,Detached,443176.3555,,,,,,,,
01/04/2006,London,Detached,455431.2154,,,,,,,,
01/04/2007,London,Detached,512599.5546,,,,,,,,
01/04/2008,London,Detached,557690.1834,,,,,,,,
01/04/2009,London,Detached,456682.7608,,,,,,,,
01/04/2010,London,Detached,530525.8629,,,,,,,,
01/04/2011,London,Detached,556812.622,,,,,,,,
01/04/2012,London,Detached,561806.0629,,,,,,,,
01/04/2013,London,Detached,592751.9523,,,,,,,,
01/04/2014,London,Detached,688121.9217,,,,,,,,
01/04/2015,London,Detached,759614.0349,,,,,,,,
01/04/2016,London,Detached,859832.3451,,,,,,,,
01/04/2017,London,Detached,899132.7916,,,,,,,,
01/04/2018,London,Detached,898927.5544,,,,,,,,
01/04/2019,London,Detached,886951.9069,,,,,,,,
01/04/2020,London,Detached,921807.0283,,,,,,,,
01/04/2021,London,Detached,968220.5103,,,,,,,,
01/04/2001,London,Flat,137995.6625,,,,,,,,
01/04/2002,London,Flat,163549.1807,,,,,,,,
01/04/2003,London,Flat,188347.2855,,,,,,,,
01/04/2004,London,Flat,202365.1876,,,,,,,,
01/04/2005,London,Flat,211198.7055,,,,,,,,
01/04/2006,London,Flat,220453.4236,,,,,,,,
01/04/2007,London,Flat,251018.7512,,,,,,,,
01/04/2008,London,Flat,265190.8084,,,,,,,,
01/04/2009,London,Flat,222091.9491,,,,,,,,
01/04/2010,London,Flat,251898.7003,,,,,,,,
01/04/2011,London,Flat,264752.349,,,,,,,,
01/04/2012,London,Flat,267992.9217,,,,,,,,
01/04/2013,London,Flat,288624.4778,,,,,,,,
01/04/2014,London,Flat,337738.0181,,,,,,,,
01/04/2015,London,Flat,367468.6726,,,,,,,,
01/04/2016,London,Flat,407094.1472,,,,,,,,
01/04/2017,London,Flat,428540.6399,,,,,,,,
01/04/2018,London,Flat,420314.5303,,,,,,,,
01/04/2019,London,Flat,411728.2298,,,,,,,,
01/04/2020,London,Flat,412701.7408,,,,,,,,
01/04/2021,London,Flat,427992.3715,,,,,,,,
01/04/2001,London,Semi_Detached,187982.0063,,,,,,,,
01/04/2002,London,Semi_Detached,217091.6619,,,,,,,,
01/04/2003,London,Semi_Detached,258067.2917,,,,,,,,
01/04/2004,London,Semi_Detached,278619.502,,,,,,,,
01/04/2005,London,Semi_Detached,286919.9017,,,,,,,,
01/04/2006,London,Semi_Detached,296200.2498,,,,,,,,
01/04/2007,London,Semi_Detached,330824.9664,,,,,,,,
01/04/2008,London,Semi_Detached,349515.465,,,,,,,,
01/04/2009,London,Semi_Detached,291883.4121,,,,,,,,
01/04/2010,London,Semi_Detached,337787.8079,,,,,,,,
01/04/2011,London,Semi_Detached,346656.6504,,,,,,,,
01/04/2012,London,Semi_Detached,354723.6081,,,,,,,,
01/04/2013,London,Semi_Detached,374399.8014,,,,,,,,
01/04/2014,London,Semi_Detached,435644.0348,,,,,,,,
01/04/2015,London,Semi_Detached,480437.8997,,,,,,,,
01/04/2016,London,Semi_Detached,551600.058,,,,,,,,
01/04/2017,London,Semi_Detached,567701.1075,,,,,,,,
01/04/2018,London,Semi_Detached,579191.4737,,,,,,,,
01/04/2019,London,Semi_Detached,570672.0084,,,,,,,,
01/04/2020,London,Semi_Detached,585408.4691,,,,,,,,
01/04/2021,London,Semi_Detached,628968.471,,,,,,,,
01/04/2001,London,Terraced,148476.5931,,,,,,,,
01/04/2002,London,Terraced,170602.4617,,,,,,,,
01/04/2003,London,Terraced,201119.7938,,,,,,,,
01/04/2004,London,Terraced,223419.5062,,,,,,,,
01/04/2005,London,Terraced,234289.8428,,,,,,,,
01/04/2006,London,Terraced,245744.7373,,,,,,,,
01/04/2007,London,Terraced,280670.3299,,,,,,,,
01/04/2008,London,Terraced,294697.3774,,,,,,,,
01/04/2009,London,Terraced,243875.0424,,,,,,,,
01/04/2010,London,Terraced,284470.9037,,,,,,,,
01/04/2011,London,Terraced,295120.6903,,,,,,,,
01/04/2012,London,Terraced,301792.1019,,,,,,,,
01/04/2013,London,Terraced,325253.5199,,,,,,,,
01/04/2014,London,Terraced,381772.7512,,,,,,,,
01/04/2015,London,Terraced,419153.5034,,,,,,,,
01/04/2016,London,Terraced,477312.8832,,,,,,,,
01/04/2017,London,Terraced,488136.3481,,,,,,,,
01/04/2018,London,Terraced,493274.4449,,,,,,,,
01/04/2019,London,Terraced,489896.8914,,,,,,,,
01/04/2020,London,Terraced,502672.529,,,,,,,,
01/04/2021,London,Terraced,538415.3778,,,,,,,,
01/04/2001,Newcastle upon Tyne,Detached,122303.3025,,,,,,,,
01/04/2002,Newcastle upon Tyne,Detached,145953.7503,,,,,,,,
01/04/2003,Newcastle upon Tyne,Detached,182106.1052,,,,,,,,
01/04/2004,Newcastle upon Tyne,Detached,222917.1735,,,,,,,,
01/04/2005,Newcastle upon Tyne,Detached,242379.7716,,,,,,,,
01/04/2006,Newcastle upon Tyne,Detached,256358.6296,,,,,,,,
01/04/2007,Newcastle upon Tyne,Detached,271753.7002,,,,,,,,
01/04/2008,Newcastle upon Tyne,Detached,277678.2378,,,,,,,,
01/04/2009,Newcastle upon Tyne,Detached,243847.7434,,,,,,,,
01/04/2010,Newcastle upon Tyne,Detached,259708.1798,,,,,,,,
01/04/2011,Newcastle upon Tyne,Detached,254864.1759,,,,,,,,
01/04/2012,Newcastle upon Tyne,Detached,257991.9459,,,,,,,,
01/04/2013,Newcastle upon Tyne,Detached,248891.5199,,,,,,,,
01/04/2014,Newcastle upon Tyne,Detached,258180.9899,,,,,,,,
01/04/2015,Newcastle upon Tyne,Detached,277309.4965,,,,,,,,
01/04/2016,Newcastle upon Tyne,Detached,278491.4813,,,,,,,,
01/04/2017,Newcastle upon Tyne,Detached,284040.0648,,,,,,,,
01/04/2018,Newcastle upon Tyne,Detached,298262.1455,,,,,,,,
